frame.number	frame.time_relative	usb.endpoint_address	usb.endpoint_address.direction	usb.endpoint_address.number	usb.transfer_type	usb.urb_type	usb.data_len	usb.capdata
1701	8.368852000	0x81	1	1	0x01		64	
1702	8.368873000	0x81	1	1	0x01		0	
1703	8.372851000	0x81	1	1	0x01		64	
1704	8.372869000	0x81	1	1	0x01		0	
1705	8.376852000	0x81	1	1	0x01		64	
1706	8.376871000	0x81	1	1	0x01		0	
1709	8.380852000	0x81	1	1	0x01		64	
1710	8.380872000	0x81	1	1	0x01		0	
1711	8.384853000	0x81	1	1	0x01		64	
1712	8.384874000	0x81	1	1	0x01		0	
1713	8.388854000	0x81	1	1	0x01		64	
1714	8.388875000	0x81	1	1	0x01		0	
1715	8.392851000	0x81	1	1	0x01		64	
1716	8.392872000	0x81	1	1	0x01		0	
1718	8.396906000	0x81	1	1	0x01		64	
1719	8.396925000	0x81	1	1	0x01		0	
1723	8.400896000	0x81	1	1	0x01		64	
1724	8.400906000	0x81	1	1	0x01		0	
1727	8.404861000	0x81	1	1	0x01		64	
1728	8.404870000	0x81	1	1	0x01		0	
1729	8.408852000	0x81	1	1	0x01		64	
1730	8.408872000	0x81	1	1	0x01		0	
1731	8.412854000	0x81	1	1	0x01		64	
1732	8.412875000	0x81	1	1	0x01		0	
1733	8.416856000	0x81	1	1	0x01		64	
1734	8.416878000	0x81	1	1	0x01		0	
1735	8.420854000	0x81	1	1	0x01		64	
1736	8.420876000	0x81	1	1	0x01		0	
1741	8.424852000	0x81	1	1	0x01		64	
1742	8.424870000	0x81	1	1	0x01		0	
1744	8.428905000	0x81	1	1	0x01		64	
1745	8.428924000	0x81	1	1	0x01		0	
1747	8.432901000	0x81	1	1	0x01		64	
1748	8.432912000	0x81	1	1	0x01		0	
1751	8.436863000	0x81	1	1	0x01		64	
1752	8.436872000	0x81	1	1	0x01		0	
1755	8.440853000	0x81	1	1	0x01		64	
1756	8.440866000	0x81	1	1	0x01		0	
1759	8.444856000	0x81	1	1	0x01		64	
1760	8.444878000	0x81	1	1	0x01		0	
1761	8.448853000	0x81	1	1	0x01		64	
1762	8.448873000	0x81	1	1	0x01		0	
1763	8.452852000	0x81	1	1	0x01		64	
1764	8.452871000	0x81	1	1	0x01		0	
1766	8.456905000	0x81	1	1	0x01		64	
1767	8.456925000	0x81	1	1	0x01		0	
1771	8.460896000	0x81	1	1	0x01		64	
1772	8.460908000	0x81	1	1	0x01		0	
1775	8.465006000	0x81	1	1	0x01		64	
1776	8.465017000	0x81	1	1	0x01		0	
1777	8.468857000	0x81	1	1	0x01		64	
1778	8.468878000	0x81	1	1	0x01		0	
1779	8.472856000	0x81	1	1	0x01		64	
1780	8.472877000	0x81	1	1	0x01		0	
1784	8.477075000	0x81	1	1	0x01		64	
1785	8.477087000	0x81	1	1	0x01		0	
1789	8.480900000	0x81	1	1	0x01		64	
1790	8.480927000	0x81	1	1	0x01		0	
1793	8.484858000	0x81	1	1	0x01		64	
1794	8.484867000	0x81	1	1	0x01		0	
1796	8.488852000	0x81	1	1	0x01		64	
1797	8.488863000	0x81	1	1	0x01		0	
1800	8.492851000	0x81	1	1	0x01		64	
1801	8.492870000	0x81	1	1	0x01		0	
1804	8.496903000	0x81	1	1	0x01		64	
1805	8.496921000	0x81	1	1	0x01		0	
1811	8.500896000	0x81	1	1	0x01		64	
1812	8.500905000	0x81	1	1	0x01		0	
1815	8.504859000	0x81	1	1	0x01		64	
1816	8.504868000	0x81	1	1	0x01		0	
1820	8.508903000	0x81	1	1	0x01		64	
1821	8.508921000	0x81	1	1	0x01		0	
1823	8.512896000	0x81	1	1	0x01		64	
1824	8.512905000	0x81	1	1	0x01		0	
1827	8.516855000	0x81	1	1	0x01		64	
1828	8.516863000	0x81	1	1	0x01		0	
1829	8.520853000	0x81	1	1	0x01		64	
1830	8.520871000	0x81	1	1	0x01		0	
1835	8.524854000	0x81	1	1	0x01		64	
1836	8.524872000	0x81	1	1	0x01		0	
1837	8.528856000	0x81	1	1	0x01		64	
1838	8.528876000	0x81	1	1	0x01		0	
1839	8.532855000	0x81	1	1	0x01		64	
1840	8.532874000	0x81	1	1	0x01		0	
1841	8.536858000	0x81	1	1	0x01		64	
1842	8.536881000	0x81	1	1	0x01		0	
1843	8.540856000	0x81	1	1	0x01		64	
1844	8.540877000	0x81	1	1	0x01		0	
1847	8.544855000	0x81	1	1	0x01		64	
1848	8.544877000	0x81	1	1	0x01		0	
1849	8.548854000	0x81	1	1	0x01		64	
1850	8.548874000	0x81	1	1	0x01		0	
1851	8.552852000	0x81	1	1	0x01		64	
1852	8.552870000	0x81	1	1	0x01		0	
1853	8.556852000	0x81	1	1	0x01		64	
1854	8.556870000	0x81	1	1	0x01		0	
1855	8.560853000	0x81	1	1	0x01		64	
1856	8.560872000	0x81	1	1	0x01		0	
1859	8.564852000	0x81	1	1	0x01		64	
1860	8.564864000	0x81	1	1	0x01		0	
1861	8.568852000	0x81	1	1	0x01		64	
1862	8.568870000	0x81	1	1	0x01		0	
1863	8.572853000	0x81	1	1	0x01		64	
1864	8.572870000	0x81	1	1	0x01		0	
1865	8.576853000	0x81	1	1	0x01		64	
1866	8.576870000	0x81	1	1	0x01		0	
1867	8.580853000	0x81	1	1	0x01		64	
1868	8.580872000	0x81	1	1	0x01		0	
1869	8.584853000	0x81	1	1	0x01		64	
1870	8.584871000	0x81	1	1	0x01		0	
1871	8.588853000	0x81	1	1	0x01		64	
1872	8.588872000	0x81	1	1	0x01		0	
1873	8.592887000	0x81	1	1	0x01		64	
1874	8.592905000	0x81	1	1	0x01		0	
1875	8.596857000	0x81	1	1	0x01		64	
1876	8.596877000	0x81	1	1	0x01		0	
1879	8.600855000	0x81	1	1	0x01		64	
1880	8.600869000	0x81	1	1	0x01		0	
1883	8.604856000	0x81	1	1	0x01		64	
1884	8.604875000	0x81	1	1	0x01		0	
1889	8.608853000	0x81	1	1	0x01		64	
1890	8.608863000	0x81	1	1	0x01		0	
1891	8.612852000	0x81	1	1	0x01		64	
1892	8.612869000	0x81	1	1	0x01		0	
1893	8.616856000	0x81	1	1	0x01		64	
1894	8.616875000	0x81	1	1	0x01		0	
1895	8.620854000	0x81	1	1	0x01		64	
1896	8.620872000	0x81	1	1	0x01		0	
1897	8.624853000	0x81	1	1	0x01		64	
1898	8.624870000	0x81	1	1	0x01		0	
1902	8.628863000	0x81	1	1	0x01		64	
1903	8.628872000	0x81	1	1	0x01		0	
1905	8.632853000	0x81	1	1	0x01		64	
1906	8.632870000	0x81	1	1	0x01		0	
1907	8.636853000	0x81	1	1	0x01		64	
1908	8.636870000	0x81	1	1	0x01		0	
1913	8.640855000	0x81	1	1	0x01		64	
1914	8.640866000	0x81	1	1	0x01		0	
1915	8.644853000	0x81	1	1	0x01		64	
1916	8.644870000	0x81	1	1	0x01		0	
1917	8.648855000	0x81	1	1	0x01		64	
1918	8.648873000	0x81	1	1	0x01		0	
1919	8.652853000	0x81	1	1	0x01		64	
1920	8.652871000	0x81	1	1	0x01		0	
1921	8.656854000	0x81	1	1	0x01		64	
1922	8.656872000	0x81	1	1	0x01		0	
1923	8.660856000	0x81	1	1	0x01		64	
1924	8.660873000	0x81	1	1	0x01		0	
1925	8.664857000	0x81	1	1	0x01		64	
1926	8.664878000	0x81	1	1	0x01		0	
1929	8.668852000	0x81	1	1	0x01		64	
1930	8.668862000	0x81	1	1	0x01		0	
1931	8.672854000	0x81	1	1	0x01		64	
1932	8.672872000	0x81	1	1	0x01		0	
1933	8.676928000	0x81	1	1	0x01		64	
1934	8.676945000	0x81	1	1	0x01		0	
1937	8.680852000	0x81	1	1	0x01		64	
1938	8.680868000	0x81	1	1	0x01		0	
1939	8.684854000	0x81	1	1	0x01		64	
1940	8.684872000	0x81	1	1	0x01		0	
1941	8.688854000	0x81	1	1	0x01		64	
1942	8.688871000	0x81	1	1	0x01		0	
1943	8.692853000	0x81	1	1	0x01		64	
1944	8.692872000	0x81	1	1	0x01		0	
1945	8.696854000	0x81	1	1	0x01		64	
1946	8.696875000	0x81	1	1	0x01		0	
1951	8.700854000	0x81	1	1	0x01		64	
1952	8.700864000	0x81	1	1	0x01		0	
1953	8.704854000	0x81	1	1	0x01		64	
1954	8.704872000	0x81	1	1	0x01		0	
1955	8.708910000	0x81	1	1	0x01		64	
1956	8.708928000	0x81	1	1	0x01		0	
1957	8.712852000	0x81	1	1	0x01		64	
1958	8.712867000	0x81	1	1	0x01		0	
1959	8.716855000	0x81	1	1	0x01		64	
1960	8.716873000	0x81	1	1	0x01		0	
1961	8.720856000	0x81	1	1	0x01		64	
1962	8.720874000	0x81	1	1	0x01		0	
1967	8.724854000	0x81	1	1	0x01		64	
1968	8.724871000	0x81	1	1	0x01		0	
1969	8.728854000	0x81	1	1	0x01		64	
1970	8.728873000	0x81	1	1	0x01		0	
1971	8.732856000	0x81	1	1	0x01		64	
1972	8.732873000	0x81	1	1	0x01		0	
1973	8.736854000	0x81	1	1	0x01		64	
1974	8.736873000	0x81	1	1	0x01		0	
1975	8.740855000	0x81	1	1	0x01		64	
1976	8.740873000	0x81	1	1	0x01		0	
1979	8.744854000	0x81	1	1	0x01		64	
1980	8.744918000	0x81	1	1	0x01		0	
1981	8.745606000	0x02	0	2	0x03		16	09910007000800000100000000000000
1982	8.745702000	0x02	0	2	0x03		0	
1983	8.745752000	0x82	1	2	0x03		0	
1984	8.745869000	0x82	1	2	0x03		8	0901000700f80000
1985	8.748854000	0x81	1	1	0x01		64	
1986	8.748873000	0x81	1	1	0x01		0	
1987	8.752854000	0x81	1	1	0x01		64	
1988	8.752872000	0x81	1	1	0x01		0	
